align_session_logs.rish	TWIN	0	0	
amphora_device_wire.rish	TWIN	0	0	
amphora_lap1.rish	TWIN	0	0	
amphora_lap2.rish	TWIN	0	0	
amphora_lap3.rish	TWIN	0	0	
amphora_purchase_delivery.rish	TWIN	0	0	
amphora_resin_chunk.rish	TWIN	0	0	
amphora_vessel_seal.rish	TWIN	0	0	
amphora_vessel_stamp.rish	TWIN	0	0	
anvil_corpus_lap1.rish	TWIN	0	0	
anvil_corpus_lap2.rish	TWIN	0	0	
anvil_corpus_lap3.rish	TWIN	0	0	
anvil_corpus_lap4.rish	TWIN	0	0	
anvil_corpus_lap5.rish	TWIN	0	0	
caravan_capabilities.rish	TWIN	0	0	
caravan_restart_on_ok.rish	TWIN	0	0	
caravan_seeds.rish	TWIN	0	0	
caravan_subscribe_poll_mirror_service.rish	TWIN	0	0	
caravan_subscribe_poll_service.rish	TWIN	0	0	
caravan_subscribe_poll_signal.rish	TWIN	0	0	
caravan_subscribe_poll_source_crash.rish	TWIN	0	0	
caravan_witness_stop_footgun.rish	TWIN	0	0	
chrono_version_sweep.rish	TWIN	0	0	
claim_preserve_witness.rish	TWIN	1	1	
comlink_device_wire.rish	TWIN	0	0	
comlink_hosted_wire.rish	TWIN	0	0	
commerce_steward_demo.rish	TWIN	0	0	
commerce_steward_sight_view.rish	TWIN	0	0	
commerce_steward_view.rish	TWIN	0	0	
compass_rose.rish	TWIN	0	0	
crockford_stamp_witness.rish	TWIN	0	0	
crossing_manifest_seed.rish	TWIN	0	0	
dated_guard.rish	TWIN	0	0	
designed_not_built_witness.rish	TWIN	0	0	
dexter_glass_keyboard_witness.rish	TWIN	0	0	
dexter_glass_witness.rish	TWIN	0	0	
dexter_seva_append_witness.rish	TWIN	0	0	
door3_consumer_edge_pass.rish	TWIN	0	0	
enrich_strengthening_docs.rish	TWIN	0	0	
foundation_seeds.rish	TWIN	0	0	
glow_barket_horizon_witness.rish	SLOW-BOTH	124	124	
glow_barket_lower_witness.rish	SLOW-BOTH	124	124	
glow_barket_parse_witness.rish	TWIN	0	0	
glow_barket_tokenize_witness.rish	TWIN	0	0	
glow_bartis_argv_witness.rish	TWIN	0	0	
glow_bartis_horizon_witness.rish	TWIN	1	1	
glow_digraph_twin_witness.rish	TWIN	0	0	
glow_expr_witness.rish	TWIN	0	0	
glow_face_lit_witness.rish	TWIN	0	0	
glow_g5_nock_family_notes_witness.rish	TWIN	1	1	
glow_jamcue_vectors_witness.rish	TWIN	0	0	
glow_lower_alias_witness.rish	TWIN	0	0	
glow_lower_assert_witness.rish	TWIN	0	0	
glow_lower_bartis_witness.rish	TWIN	0	0	
glow_lower_call2_witness.rish	TWIN	0	0	
glow_lower_call3_witness.rish	TWIN	0	0	
glow_lower_call_witness.rish	TWIN	0	0	
glow_lower_calln_witness.rish	TWIN	0	0	
glow_lower_cast_witness.rish	TWIN	0	0	
glow_lower_cell_witness.rish	TWIN	0	0	
glow_lower_compose2_witness.rish	TWIN	0	0	
glow_lower_compose_core_add_witness.rish	TWIN	0	0	
glow_lower_compose_core_payload_witness.rish	TWIN	0	0	
glow_lower_compose_core_witness.rish	TWIN	0	0	
glow_lower_compose_jam_cue_witness.rish	TWIN	0	0	
glow_lower_compose_lib_witness.rish	TWIN	0	0	
glow_lower_compose_witness.rish	TWIN	0	0	
glow_lower_conditional_witness.rish	TWIN	0	0	
glow_lower_core_lib_witness.rish	TWIN	0	0	
glow_lower_core_witness.rish	TWIN	0	0	
glow_lower_face_lit_witness.rish	TWIN	0	0	
glow_lower_face_witness.rish	TWIN	0	0	
